method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision,pixel_recall,pixel_f1,pixel_iou,pixel_accuracy,junction_nodes,traced_paths
skeleton_junction_fix,40,3,3,0,0.99556165446884,0.992798353909465,0.9940119760479041,1.0,1.0,0,0,0.9999999999933775,0.9999999999933775,0.9999999994933775,0.9999999999933775,0.9999999999999389,6,3
baseline_original_unchanged,41,5,8,3,0.7213951142985209,0.8934782608695652,0.9716494845360825,0.25,0.625,4,8,0.8262108262084723,0.7988980716231435,0.8123249294698546,0.6839622641493303,0.9918212890624394,13,13
skeleton_junction_fix,41,5,8,3,0.7213951142985209,0.8934782608695652,0.9716494845360825,0.25,0.625,4,8,0.8262108262084723,0.7988980716231435,0.8123249294698546,0.6839622641493303,0.9918212890624394,13,13
baseline_original_unchanged,42,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999900989,0.9999999999900989,0.999999999490099,0.9999999999900989,0.9999999999999389,2,1
skeleton_junction_fix,42,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.9999999999900989,0.9999999999900989,0.999999999490099,0.9999999999900989,0.9999999999999389,2,1
baseline_original_unchanged,43,2,2,0,0.9970329670329671,0.9982905982905983,0.989010989010989,1.0,1.0,0,0,0.9999999999890109,0.9999999999890109,0.999999999489011,0.9999999999890109,0.9999999999999389,4,2
skeleton_junction_fix,43,2,2,0,0.9970329670329671,0.9982905982905983,0.989010989010989,1.0,1.0,0,0,0.9999999999890109,0.9999999999890109,0.999999999489011,0.9999999999890109,0.9999999999999389,4,2
baseline_original_unchanged,44,2,2,0,1.0,1.0,1.0,1.0,1.0,1,1,0.999999999992,0.999999999992,0.9999999994919999,0.999999999992,0.9999999999999389,5,4
skeleton_junction_fix,44,2,2,0,1.0,1.0,1.0,1.0,1.0,1,1,0.999999999992,0.999999999992,0.9999999994919999,0.999999999992,0.9999999999999389,5,4
baseline_original_unchanged,45,3,3,0,0.42551020408163265,0.3333333333333333,0.8775510204081632,0.0,1.0,2,2,0.5023255813930124,0.4390243902421178,0.46854663724426293,0.3059490084977169,0.9850463867186898,5,4
skeleton_junction_fix,45,3,2,1,0.6663605442176871,0.6666666666666666,0.8734693877551021,0.5,0.6666666666666667,2,1,0.9999999999953488,0.8739837398338456,0.9327548801923574,0.8739837398338456,0.998107910156189,5,4
baseline_original_unchanged,46,1,1,0,1.0,1.0,1.0,1.0,1.0,0,0,0.99999999996,0.99999999996,0.99999999946,0.99999999996,0.9999999999999389,2,1
